"date","value"
2021-01-28 23:12:07,840
2021-01-28 23:11:56,780
2021-01-28 23:10:02,780
2021-01-28 23:09:51,720
2021-01-28 23:09:10,720
2021-01-28 23:04:09,720
2021-01-28 23:03:58,780
2021-01-28 23:02:04,780
2021-01-28 23:01:53,900
2021-01-28 22:59:59,900
2021-01-28 22:59:59,900
2021-01-28 22:59:49,840
2021-01-28 22:59:49,840
2021-01-28 22:58:04,840
2021-01-28 22:57:54,900
2021-01-28 22:56:00,900
2021-01-28 22:55:49,780
2021-01-28 22:55:08,780
2021-01-28 22:50:06,780
2021-01-28 22:49:56,840
2021-01-28 22:48:02,840
2021-01-28 22:47:51,780
2021-01-28 22:46:07,780
2021-01-28 22:45:57,900
2021-01-28 22:44:02,900
2021-01-28 22:43:52,960
2021-01-28 22:42:08,960
2021-01-28 22:41:58,840
2021-01-28 22:40:03,840
2021-01-28 22:39:53,900
2021-01-28 22:39:01,900
2021-01-28 22:33:59,900
2021-01-28 22:33:49,840
2021-01-28 22:32:05,840
2021-01-28 22:27:03,840
2021-01-28 22:22:02,840
2021-01-28 22:21:51,900
2021-01-28 22:20:07,900
2021-01-28 22:19:57,840
2021-01-28 22:18:02,840
2021-01-28 22:17:52,900
2021-01-28 22:16:08,900
2021-01-28 22:11:06,900
2021-01-28 22:06:05,900
2021-01-28 22:05:55,840
2021-01-28 22:04:00,840
2021-01-28 22:03:50,900
2021-01-28 22:00:01,900
2021-01-28 21:59:50,960
2021-01-28 21:56:01,960
2021-01-28 21:55:51,1020
2021-01-28 21:55:09,1020
2021-01-28 21:50:08,1020
2021-01-28 21:49:57,960
2021-01-28 21:49:05,960
2021-01-28 21:44:04,960
2021-01-28 21:43:53,900
2021-01-28 21:43:01,900
2021-01-28 21:38:00,900
2021-01-28 21:37:49,960
2021-01-28 21:36:05,960
2021-01-28 21:35:55,1020
2021-01-28 21:34:00,1020
2021-01-28 21:33:50,960
2021-01-28 21:32:06,960
2021-01-28 21:31:56,1020
2021-01-28 21:31:04,1020
2021-01-28 21:26:02,1020
2021-01-28 21:25:52,960
2021-01-28 21:23:05,960
2021-01-28 21:18:04,960
2021-01-28 21:17:53,1020
2021-01-28 21:15:59,1020
2021-01-28 21:15:48,1080
2021-01-28 21:14:04,1080
2021-01-28 21:13:54,1140
2021-01-28 21:12:00,1140
2021-01-28 21:11:49,1200
2021-01-28 21:10:05,1200
2021-01-28 21:09:55,1260
2021-01-28 21:06:06,1260
2021-01-28 21:05:55,1320
2021-01-28 21:04:01,1320
2021-01-28 21:03:51,1440
2021-01-28 21:00:02,1440
2021-01-28 20:59:52,1500
2021-01-28 20:57:05,1500
2021-01-28 20:52:04,1500
2021-01-28 20:51:54,1440
2021-01-28 20:49:59,1440
2021-01-28 20:49:49,1500
2021-01-28 20:47:02,1500
2021-01-28 20:42:01,1500
2021-01-28 20:41:51,1620
2021-01-28 20:38:02,1620
2021-01-28 20:37:51,1680
2021-01-28 20:35:05,1680
2021-01-28 20:30:04,1680
2021-01-28 20:29:53,1560
2021-01-28 20:26:05,1560
2021-01-28 20:25:54,1620
2021-01-28 20:25:02,1620
2021-01-28 20:20:01,1620
2021-01-28 20:19:50,1680
2021-01-28 20:19:09,1680
2021-01-28 20:14:07,1680
2021-01-28 20:13:57,1800
2021-01-28 20:10:08,1800
2021-01-28 20:09:58,1860
2021-01-28 20:06:09,1860
2021-01-28 20:01:08,1860
2021-01-28 19:56:06,1860
2021-01-28 19:55:56,1800
2021-01-28 19:54:02,1800
2021-01-28 19:53:51,1740
2021-01-28 19:51:05,1740
2021-01-28 19:46:03,1740
2021-01-28 19:45:53,1860
2021-01-28 19:42:04,1860
2021-01-28 19:37:03,1860
2021-01-28 19:32:02,1860
2021-01-28 19:31:51,1800
2021-01-28 19:30:07,1800
2021-01-28 19:29:57,1860
2021-01-28 19:26:08,1860
2021-01-28 19:25:58,1800
2021-01-28 19:22:09,1800
2021-01-28 19:21:58,1920
2021-01-28 19:20:04,1920
2021-01-28 19:19:54,1860
2021-01-28 19:17:59,1860
